"","Island","Species","Year","COUNT","CUM_FREQ","No_specimen_year"
"806","North","Glyceria declinata",1955,1,38,64
"839","North","Glyceria declinata",1956,2,40,94
"932","North","Glyceria declinata",1958,2,42,191
"1041","North","Glyceria declinata",1959,14,56,157
"1104","North","Glyceria declinata",1960,1,57,43
"1129","North","Glyceria declinata",1961,4,61,134
"1244","North","Glyceria declinata",1962,1,62,124
"1306","North","Glyceria declinata",1963,4,66,200
"1616","North","Glyceria declinata",1967,1,67,85
"1910","North","Glyceria declinata",1970,4,71,283
"2013","North","Glyceria declinata",1971,1,72,182
"2154","North","Glyceria declinata",1973,1,73,261
"2361","North","Glyceria declinata",1975,2,75,253
"2554","North","Glyceria declinata",1976,1,76,158
"2620","North","Glyceria declinata",1977,1,77,299
"2848","North","Glyceria declinata",1979,1,78,156
"2927","North","Glyceria declinata",1980,1,79,150
"3018","North","Glyceria declinata",1981,2,81,158
"3164","North","Glyceria declinata",1982,1,82,130
"3348","North","Glyceria declinata",1985,1,83,153
"3698","North","Glyceria declinata",1989,1,84,92
"4023","North","Glyceria declinata",1993,1,85,143
"4634","North","Glyceria declinata",2005,1,86,35
"96","North","Glyceria fluitans",1928,1,1,44
"595","North","Glyceria fluitans",1951,2,3,58
"814","North","Glyceria fluitans",1956,1,4,94
"1119","North","Glyceria fluitans",1961,1,5,134
"1839","North","Glyceria fluitans",1970,1,6,283
"2926","North","Glyceria fluitans",1980,1,7,150
"3114","North","Glyceria fluitans",1981,1,8,158
"145","North","Glyceria maxima",1931,1,1,5
"199","North","Glyceria maxima",1937,2,3,30
"250","North","Glyceria maxima",1940,1,4,36
"545","North","Glyceria maxima",1950,2,6,81
"587","North","Glyceria maxima",1951,1,7,58
"657","North","Glyceria maxima",1953,1,8,129
"796","North","Glyceria maxima",1955,2,10,64
"857","North","Glyceria maxima",1956,2,12,94
"865","North","Glyceria maxima",1957,1,13,88
"983","North","Glyceria maxima",1958,7,20,191
"1033","North","Glyceria maxima",1959,9,29,157
"1223","North","Glyceria maxima",1962,1,30,124
"1327","North","Glyceria maxima",1963,4,34,200
"1473","North","Glyceria maxima",1965,1,35,92
"1674","North","Glyceria maxima",1968,1,36,139
"1757","North","Glyceria maxima",1969,2,38,136
"1928","North","Glyceria maxima",1970,3,41,283
"2002","North","Glyceria maxima",1971,2,43,182
"2088","North","Glyceria maxima",1972,1,44,218
"2151","North","Glyceria maxima",1973,1,45,261
"2334","North","Glyceria maxima",1974,1,46,142
"2460","North","Glyceria maxima",1975,1,47,253
"2505","North","Glyceria maxima",1976,1,48,158
"2659","North","Glyceria maxima",1977,1,49,299
"2780","North","Glyceria maxima",1978,2,51,125
"2906","North","Glyceria maxima",1979,2,53,156
"2943","North","Glyceria maxima",1980,1,54,150
"3024","North","Glyceria maxima",1981,1,55,158
"3249","North","Glyceria maxima",1983,1,56,76
"3657","North","Glyceria maxima",1988,2,58,128
"3714","North","Glyceria maxima",1989,1,59,92
"4132","North","Glyceria maxima",1994,1,60,158
"4153","North","Glyceria maxima",1995,1,61,48
"4360","North","Glyceria maxima",1998,1,62,68
"4514","North","Glyceria maxima",2001,1,63,47
"4639","North","Glyceria maxima",2005,1,64,35
"128","North","Hakea salicifolia",1929,1,1,28
"712","North","Hakea salicifolia",1953,1,2,129
"1286","North","Hakea salicifolia",1963,1,3,200
"1489","North","Hakea salicifolia",1965,2,5,92
"1552","North","Hakea salicifolia",1966,1,6,101
"1592","North","Hakea salicifolia",1967,1,7,85
"1983","North","Hakea salicifolia",1971,1,8,182
"2102","North","Hakea salicifolia",1972,2,10,218
"3287","North","Hakea salicifolia",1984,1,11,131
"4040","North","Hakea salicifolia",1993,1,12,143
"125","North","Hakea sericea",1929,1,1,28
"162","North","Hakea sericea",1934,1,2,13
"506","North","Hakea sericea",1949,1,3,59
"785","North","Hakea sericea",1955,1,4,64
"1315","North","Hakea sericea",1963,2,6,200
"1838","North","Hakea sericea",1970,1,7,283
"1951","North","Hakea sericea",1971,1,8,182
"2037","North","Hakea sericea",1972,3,11,218
"2220","North","Hakea sericea",1973,1,12,261
"2276","North","Hakea sericea",1974,2,14,142
"2396","North","Hakea sericea",1975,2,16,253
"2545","North","Hakea sericea",1976,1,17,158
"2742","North","Hakea sericea",1977,1,18,299
"2894","North","Hakea sericea",1979,1,19,156
"2966","North","Hakea sericea",1980,1,20,150
"2670","North","Hedera helix",1977,1,1,299
"3938","North","Hedera helix",1992,1,2,118
"4097","North","Hedera helix",1994,1,3,158
"4343","North","Hedera helix",1998,1,4,68
"623","North","Hedychium gardnerianum",1952,1,1,63
"2106","North","Hedychium gardnerianum",1972,3,4,218
"2211","North","Hedychium gardnerianum",1973,4,8,261
"2451","North","Hedychium gardnerianum",1975,1,9,253
"2591","North","Hedychium gardnerianum",1976,1,10,158
"2997","North","Hedychium gardnerianum",1980,2,12,150
"3941","North","Hedychium gardnerianum",1992,1,13,118
"3976","North","Hedychium gardnerianum",1993,1,14,143
"4259","North","Hedychium gardnerianum",1997,1,15,69
"4318","North","Hedychium gardnerianum",1998,2,17,68
"4441","North","Hedychium gardnerianum",2000,1,18,72
"2261","North","Heracleum mantegazzianum",1974,1,1,142
"2360","North","Heracleum mantegazzianum",1975,1,2,253
"2767","North","Heracleum mantegazzianum",1978,1,3,125
"159","North","Hieracium aurantiacum",1934,1,1,13
"174","North","Hieracium aurantiacum",1935,1,2,7
"1371","North","Hieracium lepidulum",1964,1,1,104
"1572","North","Hieracium lepidulum",1967,1,2,85
"397","North","Hieracium pilosella",1945,1,1,59
"1038","North","Hieracium pilosella",1959,1,2,157
"1101","North","Hieracium pilosella",1960,1,3,43
"2741","North","Hieracium pilosella",1977,1,4,299
"3533","North","Hieracium pilosella",1987,1,5,171
"4016","North","Hieracium pilosella",1993,1,6,143
"4096","North","Hieracium pilosella",1994,11,17,158
"4379","North","Hieracium pilosella",1999,2,19,78
"1414","North","Hieracium praealtum",1964,1,1,104
"2898","North","Hieracium praealtum",1979,1,2,156
"4179","North","Hieracium praealtum",1995,1,3,48
"97","North","Holcus lanatus",1928,1,1,44
"556","North","Holcus lanatus",1950,2,3,81
"748","North","Holcus lanatus",1954,1,4,83
"989","North","Holcus lanatus",1958,3,7,191
"1234","North","Holcus lanatus",1962,2,9,124
"1624","North","Holcus lanatus",1967,1,10,85
"1661","North","Holcus lanatus",1968,2,12,139
"2003","North","Holcus lanatus",1971,2,14,182
"2146","North","Holcus lanatus",1972,2,16,218
"2347","North","Holcus lanatus",1974,1,17,142
"2457","North","Holcus lanatus",1975,2,19,253
"2526","North","Holcus lanatus",1976,2,21,158
"2612","North","Holcus lanatus",1977,2,23,299
"2840","North","Holcus lanatus",1979,2,25,156
"2942","North","Holcus lanatus",1980,1,26,150
"3021","North","Holcus lanatus",1981,1,27,158
"3929","North","Holcus lanatus",1992,1,28,118
"3645","North","Humulus lupulus",1988,1,1,128
"3928","North","Humulus lupulus",1992,1,2,118
"4008","North","Humulus lupulus",1993,1,3,143
"4385","North","Humulus lupulus",1999,1,4,78
"4588","North","Humulus lupulus",2003,1,5,56
"3824","North","Hypericum androsaemum",1991,1,1,114
"4038","North","Hypericum androsaemum",1993,1,2,143
"709","North","Ilex aquifolium",1953,2,2,129
"1706","North","Ilex aquifolium",1968,1,3,139
"2776","North","Ilex aquifolium",1978,1,4,125
"2917","North","Ilex aquifolium",1979,1,5,156
"4035","North","Ilex aquifolium",1993,1,6,143
"4143","North","Ilex aquifolium",1994,1,7,158
"4374","North","Ilex aquifolium",1999,1,8,78
"302","North","Ipomoea indica",1942,1,1,25
"436","North","Ipomoea indica",1947,1,2,43
"543","North","Ipomoea indica",1950,1,3,81
"2442","North","Ipomoea indica",1975,1,4,253
"2538","North","Ipomoea indica",1976,1,5,158
"2657","North","Ipomoea indica",1977,1,6,299
"2880","North","Ipomoea indica",1979,1,7,156
"3441","North","Ipomoea indica",1986,1,8,114
"3633","North","Ipomoea indica",1988,1,9,128
"4204","North","Ipomoea indica",1996,1,10,78
"4537","North","Ipomoea indica",2002,2,12,37
"4608","North","Ipomoea indica",2004,1,13,39
"399","North","Iris foetidissima",1945,1,1,59
"625","North","Iris foetidissima",1952,1,2,63
"644","North","Iris foetidissima",1953,3,5,129
"864","North","Iris foetidissima",1956,2,7,94
"939","North","Iris foetidissima",1958,1,8,191
"1295","North","Iris foetidissima",1963,1,9,200
"2060","North","Iris foetidissima",1972,1,10,218
"2431","North","Iris foetidissima",1975,1,11,253
"2660","North","Iris foetidissima",1977,1,12,299
"2807","North","Iris foetidissima",1978,1,13,125
"4002","North","Iris foetidissima",1993,1,14,143
"4279","North","Iris foetidissima",1997,1,15,69
"207","North","Iris pseudacorus",1938,1,1,16
"596","North","Iris pseudacorus",1951,1,2,58
"656","North","Iris pseudacorus",1953,1,3,129
"739","North","Iris pseudacorus",1954,1,4,83
"1743","North","Iris pseudacorus",1969,1,5,136
"3058","North","Iris pseudacorus",1981,1,6,158
"4590","North","Iris pseudacorus",2003,1,7,56
"4674","North","Iris pseudacorus",2007,1,8,15
"3129","North","Juncus articulatus",1982,2,2,130
"3325","North","Juncus articulatus",1984,2,4,131
"3658","North","Juncus articulatus",1988,7,11,128
"3937","North","Juncus articulatus",1992,1,12,118
"3587","North","Juncus bulbosus",1987,3,3,171
"3660","North","Juncus bulbosus",1988,6,9,128
"3483","North","Juncus effusus",1986,1,1,114
"3673","North","Juncus effusus",1988,2,3,128
"4029","North","Juncus effusus",1993,1,4,143
"1183","North","Juncus squarrosus",1962,1,1,124
"639","North","Lagarosiphon major",1953,1,1,129
"981","North","Lagarosiphon major",1958,4,5,191
"1074","North","Lagarosiphon major",1959,4,9,157
"1090","North","Lagarosiphon major",1960,1,10,43
"1275","North","Lagarosiphon major",1963,6,16,200
"1367","North","Lagarosiphon major",1964,1,17,104
"1727","North","Lagarosiphon major",1969,1,18,136
"1919","North","Lagarosiphon major",1970,4,22,283
"2305","North","Lagarosiphon major",1974,1,23,142
"2895","North","Lagarosiphon major",1979,1,24,156
"3245","North","Lagarosiphon major",1983,1,25,76
"3663","North","Lagarosiphon major",1988,2,27,128
"3734","North","Lagarosiphon major",1989,1,28,92
"3915","North","Lagarosiphon major",1992,1,29,118
"295","North","Lantana camara",1941,1,1,43
"577","North","Lantana camara",1951,1,2,58
"1619","North","Lantana camara",1967,1,3,85
"2082","North","Lantana camara",1972,1,4,218
"2173","North","Lantana camara",1973,1,5,261
"2326","North","Lantana camara",1974,1,6,142
"2436","North","Lantana camara",1975,1,7,253
"2579","North","Lantana camara",1976,1,8,158
"2643","North","Lantana camara",1977,6,14,299
"2912","North","Lantana camara",1979,1,15,156
"3013","North","Lantana camara",1980,1,16,150
"3043","North","Lantana camara",1981,3,19,158
"3282","North","Lantana camara",1984,1,20,131
"3361","North","Lantana camara",1985,3,23,153
"3553","North","Lantana camara",1987,4,27,171
"3896","North","Lantana camara",1992,1,28,118
"4064","North","Lantana camara",1994,1,29,158
"4314","North","Lantana camara",1998,1,30,68
"4367","North","Lantana camara",1999,1,31,78
"131","North","Leycesteria formosa",1929,1,1,28
"140","North","Leycesteria formosa",1930,1,2,11
"224","North","Leycesteria formosa",1939,1,3,29
"356","North","Leycesteria formosa",1944,1,4,34
"364","North","Leycesteria formosa",1945,1,5,59
"512","North","Leycesteria formosa",1949,1,6,59
"613","North","Leycesteria formosa",1952,1,7,63
"987","North","Leycesteria formosa",1958,1,8,191
"1197","North","Leycesteria formosa",1962,1,9,124
"1343","North","Leycesteria formosa",1963,1,10,200
"1492","North","Leycesteria formosa",1965,1,11,92
"1531","North","Leycesteria formosa",1966,1,12,101
"1665","North","Leycesteria formosa",1968,1,13,139
"1999","North","Leycesteria formosa",1971,1,14,182
"2108","North","Leycesteria formosa",1972,4,18,218
"2246","North","Leycesteria formosa",1973,3,21,261
"2314","North","Leycesteria formosa",1974,2,23,142
"2435","North","Leycesteria formosa",1975,2,25,253
"2729","North","Leycesteria formosa",1977,1,26,299
"2817","North","Leycesteria formosa",1978,1,27,125
"2874","North","Leycesteria formosa",1979,1,28,156
"3996","North","Leycesteria formosa",1993,1,29,143
"490","North","Ligustrum sinense",1949,1,1,59
"1265","North","Ligustrum sinense",1963,1,2,200
"1522","North","Ligustrum sinense",1966,1,3,101
"1907","North","Ligustrum sinense",1970,1,4,283
"2148","North","Ligustrum sinense",1972,1,5,218
"2217","North","Ligustrum sinense",1973,1,6,261
"2419","North","Ligustrum sinense",1975,3,9,253
"2492","North","Ligustrum sinense",1976,1,10,158
"3029","North","Ligustrum sinense",1981,3,13,158
"3336","North","Ligustrum sinense",1984,1,14,131
"3443","North","Ligustrum sinense",1986,1,15,114
"3548","North","Ligustrum sinense",1987,1,16,171
"3773","North","Ligustrum sinense",1990,1,17,80
"4042","North","Ligustrum sinense",1993,1,18,143
"4323","North","Ligustrum sinense",1998,1,19,68
"4376","North","Ligustrum sinense",1999,1,20,78
"89","North","Lolium perenne",1928,1,1,44
"148","North","Lolium perenne",1932,1,2,10
"292","North","Lolium perenne",1941,1,3,43
"1026","North","Lolium perenne",1959,1,4,157
"1250","North","Lolium perenne",1962,2,6,124
"1695","North","Lolium perenne",1968,1,7,139
"1798","North","Lolium perenne",1969,1,8,136
"2251","North","Lolium perenne",1973,1,9,261
"2274","North","Lolium perenne",1974,2,11,142
"2456","North","Lolium perenne",1975,3,14,253
"2682","North","Lolium perenne",1977,1,15,299
"2783","North","Lolium perenne",1978,1,16,125
"3194","North","Lolium perenne",1982,3,19,130
"3950","North","Lolium perenne",1992,2,21,118
"4065","North","Lolium perenne",1994,1,22,158
"4573","North","Lolium perenne",2003,1,23,56
"108","North","Lonicera japonica",1928,1,1,44
"298","North","Lonicera japonica",1942,1,2,25
"395","North","Lonicera japonica",1945,1,3,59
"664","North","Lonicera japonica",1953,1,4,129
"956","North","Lonicera japonica",1958,1,5,191
"1018","North","Lonicera japonica",1959,4,9,157
"1132","North","Lonicera japonica",1961,2,11,134
"1626","North","Lonicera japonica",1967,1,12,85
"1748","North","Lonicera japonica",1969,1,13,136
"2341","North","Lonicera japonica",1974,1,14,142
"2441","North","Lonicera japonica",1975,7,21,253
"2563","North","Lonicera japonica",1976,1,22,158
"2941","North","Lonicera japonica",1980,1,23,150
"3367","North","Lonicera japonica",1985,1,24,153
"3933","North","Lonicera japonica",1992,1,25,118
"4492","North","Lonicera japonica",2001,1,26,47
"107","North","Lotus pedunculatus",1928,7,7,44
"153","North","Lotus pedunculatus",1932,1,8,10
"196","North","Lotus pedunculatus",1937,1,9,30
"226","North","Lotus pedunculatus",1939,2,11,29
"255","North","Lotus pedunculatus",1940,4,15,36
"361","North","Lotus pedunculatus",1944,1,16,34
"365","North","Lotus pedunculatus",1945,3,19,59
"532","North","Lotus pedunculatus",1950,2,21,81
"672","North","Lotus pedunculatus",1953,1,22,129
"984","North","Lotus pedunculatus",1958,4,26,191
"1066","North","Lotus pedunculatus",1959,6,32,157
"1105","North","Lotus pedunculatus",1960,1,33,43
"1161","North","Lotus pedunculatus",1961,4,37,134
"1230","North","Lotus pedunculatus",1962,1,38,124
"1287","North","Lotus pedunculatus",1963,5,43,200
"1382","North","Lotus pedunculatus",1964,2,45,104
"1643","North","Lotus pedunculatus",1968,1,46,139
"1821","North","Lotus pedunculatus",1970,3,49,283
"2223","North","Lotus pedunculatus",1973,2,51,261
"2262","North","Lotus pedunculatus",1974,1,52,142
"2484","North","Lotus pedunculatus",1975,7,59,253
"2550","North","Lotus pedunculatus",1976,1,60,158
"2655","North","Lotus pedunculatus",1977,4,64,299
"2863","North","Lotus pedunculatus",1979,1,65,156
"2988","North","Lotus pedunculatus",1980,1,66,150
"3076","North","Lotus pedunculatus",1981,1,67,158
"3192","North","Lotus pedunculatus",1982,2,69,130
"3259","North","Lotus pedunculatus",1983,2,71,76
"3690","North","Lotus pedunculatus",1988,2,73,128
"3920","North","Lotus pedunculatus",1992,1,74,118
"4242","North","Lotus pedunculatus",1996,1,75,78
"449","North","Ludwigia palustris",1947,1,1,43
"466","North","Ludwigia palustris",1948,2,3,29
"520","North","Ludwigia palustris",1949,5,8,59
"567","North","Ludwigia palustris",1950,3,11,81
"630","North","Ludwigia palustris",1952,1,12,63
"700","North","Ludwigia palustris",1953,1,13,129
"766","North","Ludwigia palustris",1954,1,14,83
"837","North","Ludwigia palustris",1956,5,19,94
"978","North","Ludwigia palustris",1958,11,30,191
"1015","North","Ludwigia palustris",1959,7,37,157
"1163","North","Ludwigia palustris",1961,5,42,134
"1279","North","Ludwigia palustris",1963,13,55,200
"1631","North","Ludwigia palustris",1968,1,56,139
"1800","North","Ludwigia palustris",1969,1,57,136
"1865","North","Ludwigia palustris",1970,7,64,283
"1938","North","Ludwigia palustris",1971,1,65,182
"2094","North","Ludwigia palustris",1972,1,66,218
"2280","North","Ludwigia palustris",1974,1,67,142
"2374","North","Ludwigia palustris",1975,7,74,253
"2513","North","Ludwigia palustris",1976,1,75,158
"2633","North","Ludwigia palustris",1977,1,76,299
"2861","North","Ludwigia palustris",1979,1,77,156
"2961","North","Ludwigia palustris",1980,2,79,150
"3053","North","Ludwigia palustris",1981,4,83,158
"3178","North","Ludwigia palustris",1982,1,84,130
"3316","North","Ludwigia palustris",1984,1,85,131
"3490","North","Ludwigia palustris",1986,1,86,114
"3607","North","Ludwigia palustris",1987,2,88,171
"3638","North","Ludwigia palustris",1988,10,98,128
"3999","North","Ludwigia palustris",1993,2,100,143
"560","North","Lupinus arboreus",1950,1,1,81
"574","North","Lupinus arboreus",1951,1,2,58
"971","North","Lupinus arboreus",1958,2,4,191
"1215","North","Lupinus arboreus",1962,1,5,124
"1376","North","Lupinus arboreus",1964,2,7,104
"1721","North","Lupinus arboreus",1968,1,8,139
"2093","North","Lupinus arboreus",1972,2,10,218
"2191","North","Lupinus arboreus",1973,1,11,261
"2369","North","Lupinus arboreus",1975,3,14,253
"2653","North","Lupinus arboreus",1977,3,17,299
"3434","North","Lupinus arboreus",1985,1,18,153
"3957","North","Lupinus arboreus",1992,2,20,118
"669","North","Lupinus polyphyllus",1953,1,1,129
"4034","North","Lupinus polyphyllus",1993,1,2,143
"112","North","Lycium ferocissimum",1928,1,1,44
"1125","North","Lycium ferocissimum",1961,1,2,134
"2447","North","Lycium ferocissimum",1975,1,3,253
"2689","North","Lycium ferocissimum",1977,2,5,299
"3605","North","Lycium ferocissimum",1987,1,6,171
"3918","North","Lycium ferocissimum",1992,1,7,118
"3965","North","Lycium ferocissimum",1993,1,8,143
"4094","North","Lycium ferocissimum",1994,2,10,158
"1770","North","Lythrum salicaria",1969,2,2,136
"2152","North","Lythrum salicaria",1973,1,3,261
"3766","North","Lythrum salicaria",1990,1,4,80
"4047","North","Lythrum salicaria",1993,1,5,143
"14","North","Metrosideros excelsa",1897,1,1,2
"15","North","Metrosideros excelsa",1899,1,2,1
"16","North","Metrosideros excelsa",1900,1,3,6
"21","North","Metrosideros excelsa",1901,1,4,1
"43","North","Metrosideros excelsa",1915,1,5,4
"49","North","Metrosideros excelsa",1919,2,7,6
"65","North","Metrosideros excelsa",1922,2,9,8
"120","North","Metrosideros excelsa",1929,4,13,28
"308","North","Metrosideros excelsa",1942,1,14,25
"487","North","Metrosideros excelsa",1949,3,17,59
"695","North","Metrosideros excelsa",1953,1,18,129
"888","North","Metrosideros excelsa",1957,1,19,88
"1044","North","Metrosideros excelsa",1959,1,20,157
"1322","North","Metrosideros excelsa",1963,1,21,200
"1480","North","Metrosideros excelsa",1965,1,22,92
"1610","North","Metrosideros excelsa",1967,1,23,85
"1666","North","Metrosideros excelsa",1968,3,26,139
"1779","North","Metrosideros excelsa",1969,1,27,136
"1931","North","Metrosideros excelsa",1970,1,28,283
"2000","North","Metrosideros excelsa",1971,1,29,182
"2041","North","Metrosideros excelsa",1972,2,31,218
"2228","North","Metrosideros excelsa",1973,1,32,261
"2299","North","Metrosideros excelsa",1974,1,33,142
"2412","North","Metrosideros excelsa",1975,3,36,253
"2576","North","Metrosideros excelsa",1976,1,37,158
"2640","North","Metrosideros excelsa",1977,2,39,299
"2792","North","Metrosideros excelsa",1978,1,40,125
"2958","North","Metrosideros excelsa",1980,1,41,150
"3332","North","Metrosideros excelsa",1984,1,42,131
"3497","North","Metrosideros excelsa",1986,1,43,114
"3756","North","Metrosideros excelsa",1989,1,44,92
"3803","North","Metrosideros excelsa",1990,1,45,80
"3874","North","Metrosideros excelsa",1991,1,46,114
"3917","North","Metrosideros excelsa",1992,3,49,118
"4193","North","Metrosideros excelsa",1996,1,50,78
"4341","North","Metrosideros excelsa",1998,1,51,68
"4391","North","Metrosideros excelsa",1999,1,52,78
"4471","North","Metrosideros excelsa",2000,1,53,72
"4499","North","Metrosideros excelsa",2001,1,54,47
"4556","North","Metrosideros excelsa",2002,1,55,37
"4580","North","Metrosideros excelsa",2003,1,56,56
"193","North","Mimulus guttatus",1937,1,1,30
"273","North","Mimulus guttatus",1941,2,3,43
"448","North","Mimulus guttatus",1947,2,5,43
"813","North","Mimulus guttatus",1956,2,7,94
"998","North","Mimulus guttatus",1958,1,8,191
"1067","North","Mimulus guttatus",1959,3,11,157
"1134","North","Mimulus guttatus",1961,5,16,134
"1349","North","Mimulus guttatus",1963,4,20,200
"1424","North","Mimulus guttatus",1965,1,21,92
"1872","North","Mimulus guttatus",1970,2,23,283
"1953","North","Mimulus guttatus",1971,1,24,182
"2253","North","Mimulus guttatus",1973,2,26,261
"2744","North","Mimulus guttatus",1977,1,27,299
"3998","North","Mimulus guttatus",1993,1,28,143
"4269","North","Mimulus guttatus",1997,1,29,69
"214","North","Miscanthus nepalensis",1938,1,1,16
"222","North","Miscanthus nepalensis",1939,1,2,29
"262","North","Miscanthus nepalensis",1940,2,4,36
"550","North","Miscanthus nepalensis",1950,1,5,81
"629","North","Miscanthus nepalensis",1952,1,6,63
"704","North","Miscanthus nepalensis",1953,1,7,129
"859","North","Miscanthus nepalensis",1956,2,9,94
"1114","North","Miscanthus nepalensis",1960,1,10,43
"1251","North","Miscanthus nepalensis",1962,2,12,124
"1280","North","Miscanthus nepalensis",1963,2,14,200
"1413","North","Miscanthus nepalensis",1964,1,15,104
"1465","North","Miscanthus nepalensis",1965,1,16,92
"1523","North","Miscanthus nepalensis",1966,1,17,101
"1606","North","Miscanthus nepalensis",1967,2,19,85
"1797","North","Miscanthus nepalensis",1969,1,20,136
"1991","North","Miscanthus nepalensis",1971,1,21,182
"2142","North","Miscanthus nepalensis",1972,2,23,218
"2233","North","Miscanthus nepalensis",1973,1,24,261
"2269","North","Miscanthus nepalensis",1974,1,25,142
"2455","North","Miscanthus nepalensis",1975,3,28,253
"2696","North","Miscanthus nepalensis",1977,1,29,299
"3084","North","Miscanthus nepalensis",1981,3,32,158
"3482","North","Miscanthus nepalensis",1986,1,33,114
"3643","North","Miscanthus nepalensis",1988,2,35,128
"4015","North","Miscanthus nepalensis",1993,1,36,143
"4523","North","Miscanthus nepalensis",2001,1,37,47
"13","North","Muehlenbeckia australis",1897,1,1,2
"18","North","Muehlenbeckia australis",1900,2,3,6
"25","North","Muehlenbeckia australis",1907,1,4,3
"44","North","Muehlenbeckia australis",1917,1,5,1
"45","North","Muehlenbeckia australis",1918,1,6,2
"54","North","Muehlenbeckia australis",1920,1,7,11
"57","North","Muehlenbeckia australis",1921,1,8,10
"72","North","Muehlenbeckia australis",1923,1,9,2
"86","North","Muehlenbeckia australis",1928,1,10,44
"155","North","Muehlenbeckia australis",1933,1,11,4
"217","North","Muehlenbeckia australis",1938,1,12,16
"248","North","Muehlenbeckia australis",1940,1,13,36
"445","North","Muehlenbeckia australis",1947,2,15,43
"477","North","Muehlenbeckia australis",1948,1,16,29
"496","North","Muehlenbeckia australis",1949,1,17,59
"584","North","Muehlenbeckia australis",1951,1,18,58
"640","North","Muehlenbeckia australis",1953,1,19,129
"1076","North","Muehlenbeckia australis",1959,1,20,157
"1151","North","Muehlenbeckia australis",1961,1,21,134
"1206","North","Muehlenbeckia australis",1962,3,24,124
"1380","North","Muehlenbeckia australis",1964,3,27,104
"1429","North","Muehlenbeckia australis",1965,2,29,92
"1498","North","Muehlenbeckia australis",1966,3,32,101
"1685","North","Muehlenbeckia australis",1968,1,33,139
"1887","North","Muehlenbeckia australis",1970,4,37,283
"2024","North","Muehlenbeckia australis",1971,1,38,182
"2076","North","Muehlenbeckia australis",1972,2,40,218
"2170","North","Muehlenbeckia australis",1973,5,45,261
"2337","North","Muehlenbeckia australis",1974,1,46,142
"2404","North","Muehlenbeckia australis",1975,2,48,253
"2629","North","Muehlenbeckia australis",1977,2,50,299
"2756","North","Muehlenbeckia australis",1978,6,56,125
"3313","North","Muehlenbeckia australis",1984,1,57,131
"3452","North","Muehlenbeckia australis",1986,1,58,114
"3672","North","Muehlenbeckia australis",1988,1,59,128
"3853","North","Muehlenbeckia australis",1991,4,63,114
"3925","North","Muehlenbeckia australis",1992,2,65,118
"4459","North","Muehlenbeckia australis",2000,1,66,72
"4502","North","Muehlenbeckia australis",2001,1,67,47
"4676","North","Muehlenbeckia australis",2007,3,70,15
"460","North","Myoporum insulare",1948,1,1,29
"2044","North","Myoporum insulare",1972,1,2,218
"2853","North","Myoporum insulare",1979,1,3,156
"3801","North","Myoporum insulare",1990,1,4,80
"3936","North","Myoporum insulare",1992,1,5,118
"4266","North","Myoporum insulare",1997,1,6,69
"4564","North","Myoporum insulare",2003,1,7,56
"127","North","Myriophyllum aquaticum",1929,1,1,28
"474","North","Myriophyllum aquaticum",1948,2,3,29
"845","North","Myriophyllum aquaticum",1956,1,4,94
"1351","North","Myriophyllum aquaticum",1963,1,5,200
"1590","North","Myriophyllum aquaticum",1967,1,6,85
"1810","North","Myriophyllum aquaticum",1969,7,13,136
"1890","North","Myriophyllum aquaticum",1970,4,17,283
"1976","North","Myriophyllum aquaticum",1971,1,18,182
"2131","North","Myriophyllum aquaticum",1972,1,19,218
"2184","North","Myriophyllum aquaticum",1973,2,21,261
"2646","North","Myriophyllum aquaticum",1977,3,24,299
"2805","North","Myriophyllum aquaticum",1978,2,26,125
"2908","North","Myriophyllum aquaticum",1979,1,27,156
"3007","North","Myriophyllum aquaticum",1980,1,28,150
"3868","North","Myriophyllum aquaticum",1991,1,29,114
"3973","North","Myriophyllum aquaticum",1993,1,30,143
"4285","North","Myriophyllum aquaticum",1997,1,31,69
"4470","North","Myriophyllum aquaticum",2000,1,32,72
"4615","North","Myriophyllum aquaticum",2004,1,33,39
"4654","North","Myriophyllum aquaticum",2005,1,34,35
"3935","North","Nardus stricta",1992,1,1,118
"4171","North","Nassella trichotoma",1995,1,1,48
"4362","North","Nassella trichotoma",1998,1,2,68
"4652","North","Nassella trichotoma",2005,1,3,35
"553","North","Nasturtium officinale",1950,2,2,81
"622","North","Nasturtium officinale",1952,4,6,63
"676","North","Nasturtium officinale",1953,2,8,129
"757","North","Nasturtium officinale",1954,1,9,83
"828","North","Nasturtium officinale",1956,1,10,94
"992","North","Nasturtium officinale",1958,3,13,191
"1037","North","Nasturtium officinale",1959,4,17,157
"1131","North","Nasturtium officinale",1961,4,21,134
"1264","North","Nasturtium officinale",1963,5,26,200
"1825","North","Nasturtium officinale",1970,7,33,283
"2057","North","Nasturtium officinale",1972,2,35,218
"2248","North","Nasturtium officinale",1973,1,36,261
"2475","North","Nasturtium officinale",1975,2,38,253
"2713","North","Nasturtium officinale",1977,2,40,299
"2768","North","Nasturtium officinale",1978,1,41,125
"3612","North","Nasturtium officinale",1987,1,42,171
"3911","North","Nasturtium officinale",1992,1,43,118
"189","North","Navarretia squarrosa",1937,1,1,30
"244","North","Navarretia squarrosa",1940,1,2,36
"681","North","Navarretia squarrosa",1953,1,3,129
"1335","North","Navarretia squarrosa",1963,1,4,200
"1574","North","Navarretia squarrosa",1967,1,5,85
